customer_id,signup_date,churn_date,plan,country,age,monthly_fee,payment_method,acquisition_channel,contract_type,support_tickets,login_frequency,days_since_last_login,churn_flag,status,annual_revenue,tenure_days,tenure_months,estimated_clv,risk_score,risk_category
C00034,2025-01-07,,Standard,United States,52,49,PayPal,Organic Search,Monthly,4,9.57,17,0,Active,588,358,11.9,583.1,1,Medium Risk
C00035,2026-04-25,,Basic,United States,27,19,Debit Card,Partner,Annual,0,16.76,29,0,Active,228,-115,-3.8,-72.2,0,Low Risk
C00036,2025-06-16,,Premium,Canada,42,99,Credit Card,Email,Monthly,4,8.65,26,0,Active,1188,198,6.6,653.4,1,Medium Risk
C00037,2025-12-25,,Premium,Australia,29,99,Credit Card,Email,Annual,2,4.28,6,0,Active,1188,6,0.2,19.8,0,Low Risk
C00038,2026-01-25,,Basic,Canada,29,19,Credit Card,Organic Search,Annual,4,13.01,6,0,Active,228,-25,-0.8,-15.2,0,Low Risk
C00039,2025-07-28,2025-10-23,Standard,Australia,53,49,Credit Card,Organic Search,Monthly,0,1.55,32,1,Churned,588,156,5.2,254.8,2,High Risk
C00040,2024-06-23,2025-08-27,Premium,United Kingdom,28,99,Debit Card,Social Media,Monthly,0,13.22,9,1,Churned,1188,556,18.5,1831.5,1,Medium Risk
C00041,2026-03-01,,Basic,United States,44,19,Debit Card,Paid Search,Monthly,3,8.68,28,0,Active,228,-60,-2.0,-38.0,1,Medium Risk
C00042,2024-11-27,,Basic,Australia,61,19,Debit Card,Referral,Monthly,1,19.22,1,0,Active,228,399,13.3,252.7,1,Medium Risk
C00043,2024-04-28,,Standard,Australia,58,49,UPI,Organic Search,Monthly,2,0.0,26,0,Active,588,612,20.4,999.6,1,Medium Risk
C00044,2025-10-29,,Premium,Australia,49,99,Credit Card,Email,Monthly,4,9.64,9,0,Active,1188,63,2.1,207.9,1,Medium Risk
C00045,2024-07-13,2025-05-10,Basic,India,20,19,PayPal,Organic Search,Annual,3,11.21,1,1,Churned,228,536,17.9,340.1,0,Low Risk
C00046,2024-11-22,2025-05-15,Basic,United States,45,19,PayPal,Email,Annual,1,4.43,21,1,Churned,228,404,13.5,256.5,0,Low Risk
C00047,2025-08-20,,Basic,United Kingdom,23,19,Debit Card,Referral,Annual,3,11.63,12,0,Active,228,133,4.4,83.6,0,Low Risk
C00048,2025-09-19,2025-11-14,Premium,India,28,99,Credit Card,Paid Search,Monthly,1,13.71,34,1,Churned,1188,103,3.4,336.6,2,High Risk
C00049,2024-06-30,,Standard,United Kingdom,40,49,Credit Card,Email,Annual,1,5.16,20,0,Active,588,549,18.3,896.7,0,Low Risk
C00050,2024-02-26,,Standard,United States,45,49,UPI,Paid Search,Monthly,4,14.07,28,0,Active,588,674,22.5,1102.5,1,Medium Risk
C00051,2024-07-23,2025-03-01,Standard,Australia,38,49,Debit Card,Paid Search,Annual,0,17.29,1,1,Churned,588,526,17.5,857.5,0,Low Risk
C00052,2025-07-12,2025-09-09,Basic,United Kingdom,51,19,PayPal,Organic Search,Monthly,3,11.93,22,1,Churned,228,172,5.7,108.3,1,Medium Risk
C00053,2026-02-13,,Basic,Australia,51,19,Debit Card,Email,Monthly,2,23.71,3,0,Active,228,-44,-1.5,-28.5,1,Medium Risk
C00054,2026-05-22,,Basic,Canada,57,19,PayPal,Organic Search,Annual,1,9.35,7,0,Active,228,-142,-4.7,-89.3,0,Low Risk
C00055,2024-11-21,,Basic,Australia,23,19,Credit Card,Email,Monthly,2,8.5,17,0,Active,228,405,13.5,256.5,1,Medium Risk
C00056,2025-11-26,,Premium,Australia,34,99,Debit Card,Social Media,Annual,1,10.62,1,0,Active,1188,35,1.2,118.8,0,Low Risk
C00057,2024-03-17,,Standard,Germany,41,49,Debit Card,Email,Monthly,0,16.33,19,0,Active,588,654,21.8,1068.2,1,Medium Risk
C00058,2025-01-03,,Standard,Canada,62,49,Debit Card,Paid Search,Monthly,0,8.14,20,0,Active,588,362,12.1,592.9,1,Medium Risk
C00059,2025-11-16,,Standard,India,56,49,Debit Card,Paid Search,Monthly,2,10.51,36,0,Active,588,45,1.5,73.5,2,High Risk
C00060,2025-11-01,,Standard,Germany,51,49,UPI,Organic Search,Monthly,3,1.6,14,0,Active,588,60,2.0,98.0,1,Medium Risk
C00061,2025-02-11,,Premium,Australia,39,99,Credit Card,Partner,Monthly,1,15.99,16,0,Active,1188,323,10.8,1069.2,1,Medium Risk
C00062,2025-12-28,2025-12-31,Basic,Germany,47,19,PayPal,Partner,Monthly,2,8.69,20,1,Churned,228,3,0.1,1.9,1,Medium Risk
C00063,2025-07-28,,Basic,United Kingdom,37,19,Credit Card,Social Media,Monthly,2,11.67,2,0,Active,228,156,5.2,98.8,1,Medium Risk
C00064,2024-09-03,,Standard,India,23,49,Debit Card,Paid Search,Monthly,2,11.64,4,0,Active,588,484,16.1,788.9,1,Medium Risk
C00065,2024-09-30,,Standard,United Kingdom,47,49,UPI,Organic Search,Annual,3,15.34,13,0,Active,588,457,15.2,744.8,0,Low Risk
C00066,2024-07-20,,Standard,Canada,46,49,PayPal,Referral,Annual,1,14.72,25,0,Active,588,529,17.6,862.4,0,Low Risk
C00067,2025-05-03,2025-07-10,Standard,Canada,42,49,Credit Card,Paid Search,Monthly,4,2.7,24,1,Churned,588,242,8.1,396.9,1,Medium Risk
C00068,2024-08-05,,Basic,United States,31,19,Credit Card,Referral,Monthly,3,11.94,25,0,Active,228,513,17.1,324.9,1,Medium Risk
C00069,2026-02-01,,Standard,United Kingdom,53,49,Credit Card,Partner,Annual,1,15.29,5,0,Active,588,-32,-1.1,-53.9,0,Low Risk
C00070,2025-01-18,,Standard,United States,50,49,Debit Card,Partner,Monthly,3,0.0,11,0,Active,588,347,11.6,568.4,1,Medium Risk
C00071,2025-04-07,,Standard,United Kingdom,48,49,UPI,Referral,Monthly,4,3.6,8,0,Active,588,268,8.9,436.1,1,Medium Risk
C00072,2025-10-18,,Standard,United States,30,49,PayPal,Partner,Monthly,2,8.99,28,0,Active,588,74,2.5,122.5,1,Medium Risk
C00073,2026-05-27,,Basic,United Kingdom,46,19,Debit Card,Organic Search,Annual,0,12.28,25,0,Active,228,-147,-4.9,-93.1,0,Low Risk
C00074,2026-05-21,2025-12-31,Standard,Australia,64,49,Credit Card,Email,Monthly,0,6.94,1,1,Churned,588,-141,-4.7,-230.3,1,Medium Risk
C00075,2025-04-23,2025-09-27,Standard,United Kingdom,55,49,Debit Card,Paid Search,Monthly,1,10.77,12,1,Churned,588,252,8.4,411.6,1,Medium Risk
C00076,2025-11-25,,Standard,Germany,41,49,Credit Card,Organic Search,Annual,1,14.23,15,0,Active,588,36,1.2,58.8,0,Low Risk
C00077,2024-03-22,,Standard,Canada,39,49,PayPal,Email,Monthly,1,18.75,11,0,Active,588,649,21.6,1058.4,1,Medium Risk
C00078,2025-04-27,2025-06-14,Basic,Germany,46,19,Credit Card,Email,Monthly,0,10.73,30,1,Churned,228,248,8.3,157.7,1,Medium Risk
C00079,2024-05-20,,Standard,Canada,47,49,Debit Card,Referral,Monthly,3,6.45,32,0,Active,588,590,19.7,965.3,2,High Risk
C00080,2024-04-25,,Basic,Canada,49,19,Debit Card,Email,Monthly,1,24.86,16,0,Active,228,615,20.5,389.5,1,Medium Risk
C00081,2024-06-29,,Basic,Australia,20,19,UPI,Organic Search,Monthly,6,3.53,5,0,Active,228,550,18.3,347.7,2,High Risk
C00082,2024-09-06,,Basic,United States,24,19,Credit Card,Email,Monthly,4,8.48,1,0,Active,228,481,16.0,304.0,1,Medium Risk
C00083,2025-02-01,,Standard,Canada,37,49,Credit Card,Email,Monthly,1,16.86,14,0,Active,588,333,11.1,543.9,1,Medium Risk
C00084,2026-03-31,,Standard,India,34,49,Debit Card,Organic Search,Monthly,1,5.56,16,0,Active,588,-90,-3.0,-147.0,1,Medium Risk
C00085,2024-06-30,,Basic,United Kingdom,23,19,Debit Card,Email,Annual,0,11.66,1,0,Active,228,549,18.3,347.7,0,Low Risk
C00086,2025-09-27,,Standard,Australia,59,49,Debit Card,Email,Monthly,2,25.8,12,0,Active,588,95,3.2,156.8,1,Medium Risk
C00087,2025-08-02,,Premium,Australia,45,99,Debit Card,Paid Search,Monthly,2,10.87,27,0,Active,1188,151,5.0,495.0,1,Medium Risk
C00088,2025-08-08,,Premium,United Kingdom,56,99,PayPal,Referral,Annual,1,3.23,13,0,Active,1188,145,4.8,475.2,0,Low Risk
C00089,2025-09-17,2025-11-28,Standard,United Kingdom,52,49,PayPal,Referral,Annual,2,12.9,11,1,Churned,588,105,3.5,171.5,0,Low Risk
C00090,2025-12-18,2025-12-31,Standard,United Kingdom,57,49,Debit Card,Organic Search,Monthly,3,8.36,12,1,Churned,588,13,0.4,19.6,1,Medium Risk
C00091,2026-02-06,,Premium,Australia,34,99,Debit Card,Organic Search,Monthly,5,9.73,21,0,Active,1188,-37,-1.2,-118.8,2,High Risk
C00092,2025-02-23,,Standard,United Kingdom,43,49,Credit Card,Email,Monthly,4,13.79,9,0,Active,588,311,10.4,509.6,1,Medium Risk
C00093,2025-07-14,,Basic,United States,40,19,Credit Card,Paid Search,Annual,3,16.51,1,0,Active,228,170,5.7,108.3,0,Low Risk
C00094,2025-10-24,,Standard,United Kingdom,54,49,UPI,Paid Search,Annual,2,17.16,1,0,Active,588,68,2.3,112.7,0,Low Risk
C00095,2025-01-20,2025-10-27,Premium,United States,61,99,Debit Card,Paid Search,Monthly,5,9.41,29,1,Churned,1188,345,11.5,1138.5,2,High Risk
C00096,2026-04-25,,Standard,India,33,49,PayPal,Social Media,Annual,2,9.9,12,0,Active,588,-115,-3.8,-186.2,0,Low Risk
C00097,2024-10-16,,Basic,Germany,21,19,Debit Card,Partner,Monthly,1,10.77,6,0,Active,228,441,14.7,279.3,1,Medium Risk
C00098,2026-05-13,,Basic,United Kingdom,54,19,Credit Card,Email,Monthly,4,12.83,19,0,Active,228,-133,-4.4,-83.6,1,Medium Risk
C00099,2025-07-04,,Standard,Australia,63,49,Debit Card,Referral,Monthly,2,19.1,9,0,Active,588,180,6.0,294.0,1,Medium Risk
C00100,2026-04-17,,Standard,United Kingdom,49,49,UPI,Partner,Monthly,0,0.77,6,0,Active,588,-107,-3.6,-176.4,1,Medium Risk
C00101,2024-09-25,,Basic,Australia,26,19,UPI,Organic Search,Annual,3,10.82,16,0,Active,228,462,15.4,292.6,0,Low Risk
C00102,2024-05-20,,Standard,Australia,30,49,PayPal,Email,Annual,5,14.05,21,0,Active,588,590,19.7,965.3,1,Medium Risk
C00103,2026-06-18,,Standard,Canada,50,49,UPI,Referral,Monthly,2,7.36,20,0,Active,588,-169,-5.6,-274.4,1,Medium Risk
C00104,2026-05-24,,Premium,Australia,48,99,UPI,Paid Search,Monthly,1,14.09,19,0,Active,1188,-144,-4.8,-475.2,1,Medium Risk
C00105,2024-03-31,,Standard,United States,49,49,Credit Card,Partner,Monthly,0,10.89,16,0,Active,588,640,21.3,1043.7,1,Medium Risk
C00106,2026-03-08,,Basic,United States,58,19,PayPal,Paid Search,Monthly,1,12.88,19,0,Active,228,-67,-2.2,-41.8,1,Medium Risk
C00107,2025-12-09,,Basic,United Kingdom,34,19,PayPal,Partner,Annual,0,22.1,7,0,Active,228,22,0.7,13.3,0,Low Risk
C00108,2025-12-03,,Standard,Canada,24,49,Credit Card,Referral,Annual,2,11.44,2,0,Active,588,28,0.9,44.1,0,Low Risk
C00109,2026-03-30,,Premium,United Kingdom,30,99,Credit Card,Email,Monthly,0,17.61,28,0,Active,1188,-89,-3.0,-297.0,1,Medium Risk
C00110,2025-07-21,2025-11-28,Basic,India,61,19,PayPal,Social Media,Annual,2,11.77,17,1,Churned,228,163,5.4,102.6,0,Low Risk
C00111,2024-02-22,,Premium,United States,52,99,PayPal,Organic Search,Monthly,3,13.71,19,0,Active,1188,678,22.6,2237.4,1,Medium Risk
C00112,2026-04-15,,Standard,Germany,24,49,UPI,Email,Monthly,4,13.87,7,0,Active,588,-105,-3.5,-171.5,1,Medium Risk
C00113,2026-02-05,2025-12-31,Basic,Germany,39,19,Debit Card,Email,Monthly,2,11.13,8,1,Churned,228,-36,-1.2,-22.8,1,Medium Risk
C00114,2024-12-31,2025-10-23,Standard,Germany,49,49,UPI,Email,Annual,1,11.98,3,1,Churned,588,365,12.2,597.8,0,Low Risk
C00115,2024-10-04,,Standard,Canada,50,49,Debit Card,Paid Search,Monthly,0,10.65,14,0,Active,588,453,15.1,739.9,1,Medium Risk
C00116,2025-12-24,,Basic,Germany,56,19,Debit Card,Partner,Monthly,2,13.38,7,0,Active,228,7,0.2,3.8,1,Medium Risk
C00117,2024-09-09,,Standard,Germany,26,49,Debit Card,Organic Search,Monthly,4,12.57,24,0,Active,588,478,15.9,779.1,1,Medium Risk
C00118,2026-02-09,,Premium,United States,20,99,UPI,Organic Search,Monthly,3,4.21,25,0,Active,1188,-40,-1.3,-128.7,1,Medium Risk
C00119,2024-04-16,,Standard,Australia,25,49,Credit Card,Email,Monthly,2,6.36,20,0,Active,588,624,20.8,1019.2,1,Medium Risk
C00120,2024-05-18,2024-07-10,Standard,Australia,32,49,Credit Card,Social Media,Monthly,2,13.12,25,1,Churned,588,592,19.7,965.3,1,Medium Risk
C00121,2024-08-11,2025-05-29,Basic,Australia,51,19,PayPal,Social Media,Annual,3,8.64,1,1,Churned,228,507,16.9,321.1,0,Low Risk
C00122,2026-05-19,,Premium,India,52,99,Debit Card,Social Media,Annual,2,11.87,26,0,Active,1188,-139,-4.6,-455.4,0,Low Risk
C00123,2026-06-07,,Basic,Canada,64,19,Debit Card,Organic Search,Monthly,2,20.58,30,0,Active,228,-158,-5.3,-100.7,1,Medium Risk
C00124,2025-11-18,,Basic,United Kingdom,27,19,UPI,Partner,Monthly,2,15.24,1,0,Active,228,43,1.4,26.6,1,Medium Risk
C00125,2024-11-25,,Standard,Germany,37,49,PayPal,Organic Search,Monthly,3,12.87,25,0,Active,588,401,13.4,656.6,1,Medium Risk
C00126,2024-05-31,2024-06-30,Standard,Canada,31,49,Debit Card,Organic Search,Monthly,0,15.66,14,1,Churned,588,579,19.3,945.7,1,Medium Risk
C00127,2025-09-25,,Basic,India,31,19,PayPal,Paid Search,Monthly,1,4.28,20,0,Active,228,97,3.2,60.8,1,Medium Risk
C00128,2026-02-20,,Standard,Canada,55,49,PayPal,Partner,Monthly,2,13.38,8,0,Active,588,-51,-1.7,-83.3,1,Medium Risk
C00129,2026-03-19,2025-12-31,Basic,Australia,64,19,Debit Card,Paid Search,Monthly,1,15.34,9,1,Churned,228,-78,-2.6,-49.4,1,Medium Risk
C00130,2025-06-28,,Premium,India,29,99,UPI,Organic Search,Monthly,2,8.14,17,0,Active,1188,186,6.2,613.8,1,Medium Risk
C00131,2026-02-02,2025-12-31,Standard,United States,23,49,UPI,Organic Search,Annual,1,8.98,11,1,Churned,588,-33,-1.1,-53.9,0,Low Risk
C00132,2025-07-31,2025-09-11,Standard,Germany,63,49,PayPal,Partner,Monthly,3,11.13,15,1,Churned,588,153,5.1,249.9,1,Medium Risk
C00133,2025-08-03,,Basic,Canada,24,19,UPI,Email,Monthly,3,6.06,18,0,Active,228,150,5.0,95.0,1,Medium Risk
C00134,2024-12-05,2025-04-30,Standard,United States,63,49,Credit Card,Referral,Monthly,1,12.45,3,1,Churned,588,391,13.0,637.0,1,Medium Risk
C00135,2025-12-24,,Basic,Canada,32,19,UPI,Partner,Annual,4,12.65,18,0,Active,228,7,0.2,3.8,0,Low Risk
C00136,2026-06-18,,Basic,Canada,38,19,Credit Card,Partner,Monthly,4,7.86,16,0,Active,228,-169,-5.6,-106.4,1,Medium Risk
C00137,2024-04-03,,Standard,United States,30,49,PayPal,Paid Search,Monthly,1,21.23,17,0,Active,588,637,21.2,1038.8,1,Medium Risk
C00138,2026-01-01,,Basic,United States,59,19,PayPal,Social Media,Monthly,3,24.73,19,0,Active,228,-1,-0.0,-0.0,1,Medium Risk
C00139,2026-06-12,2025-12-31,Standard,United States,41,49,Debit Card,Organic Search,Annual,1,8.41,23,1,Churned,588,-163,-5.4,-264.6,0,Low Risk
C00140,2024-09-05,,Premium,Canada,56,99,Debit Card,Organic Search,Monthly,2,15.17,19,0,Active,1188,482,16.1,1593.9,1,Medium Risk
C00141,2024-11-28,,Basic,India,39,19,PayPal,Email,Monthly,1,19.3,1,0,Active,228,398,13.3,252.7,1,Medium Risk
C00142,2024-07-03,,Standard,United States,52,49,UPI,Email,Monthly,2,17.21,9,0,Active,588,546,18.2,891.8,1,Medium Risk
C00143,2026-03-21,,Standard,Germany,59,49,PayPal,Email,Monthly,2,8.75,2,0,Active,588,-80,-2.7,-132.3,1,Medium Risk
C00144,2024-06-30,,Basic,India,19,19,PayPal,Email,Monthly,2,10.77,1,0,Active,228,549,18.3,347.7,1,Medium Risk
C00145,2024-04-16,2025-08-29,Basic,United States,40,19,PayPal,Paid Search,Monthly,1,14.79,15,1,Churned,228,624,20.8,395.2,1,Medium Risk
C00146,2026-06-19,2025-12-31,Basic,India,33,19,Debit Card,Partner,Monthly,0,0.32,10,1,Churned,228,-170,-5.7,-108.3,1,Medium Risk
C00147,2025-10-29,,Basic,United Kingdom,57,19,Debit Card,Email,Annual,2,16.07,8,0,Active,228,63,2.1,39.9,0,Low Risk
C00148,2025-06-18,,Premium,Australia,33,99,PayPal,Partner,Monthly,0,8.59,3,0,Active,1188,196,6.5,643.5,1,Medium Risk
C00149,2024-06-03,2025-08-13,Basic,United States,44,19,Credit Card,Organic Search,Monthly,2,13.83,29,1,Churned,228,576,19.2,364.8,1,Medium Risk
C00150,2024-06-30,2025-05-16,Standard,Canada,59,49,PayPal,Organic Search,Monthly,3,14.89,9,1,Churned,588,549,18.3,896.7,1,Medium Risk
C00151,2024-03-11,2024-12-31,Basic,United Kingdom,19,19,UPI,Paid Search,Monthly,1,24.32,11,1,Churned,228,660,22.0,418.0,1,Medium Risk
C00152,2026-03-11,,Standard,Australia,20,49,UPI,Organic Search,Annual,0,16.75,1,0,Active,588,-70,-2.3,-112.7,0,Low Risk
C00153,2025-06-27,,Basic,Australia,29,19,PayPal,Social Media,Monthly,1,5.95,20,0,Active,228,187,6.2,117.8,1,Medium Risk
C00154,2025-03-01,,Standard,Canada,40,49,UPI,Referral,Monthly,1,15.23,28,0,Active,588,305,10.2,499.8,1,Medium Risk
C00155,2026-03-29,,Basic,United Kingdom,26,19,UPI,Email,Monthly,0,10.06,16,0,Active,228,-88,-2.9,-55.1,1,Medium Risk
C00156,2025-11-27,,Standard,India,54,49,UPI,Social Media,Monthly,2,11.36,24,0,Active,588,34,1.1,53.9,1,Medium Risk
C00157,2024-05-17,,Basic,United Kingdom,45,19,Debit Card,Partner,Monthly,2,18.85,11,0,Active,228,593,19.8,376.2,1,Medium Risk
C00158,2024-07-16,2025-03-15,Standard,United States,56,49,Credit Card,Organic Search,Monthly,1,11.39,10,1,Churned,588,533,17.8,872.2,1,Medium Risk
C00159,2025-02-23,,Basic,United Kingdom,38,19,PayPal,Email,Monthly,2,5.14,1,0,Active,228,311,10.4,197.6,1,Medium Risk
C00160,2024-04-27,,Standard,Australia,59,49,Credit Card,Organic Search,Annual,2,15.39,10,0,Active,588,613,20.4,999.6,0,Low Risk
C00161,2025-03-20,,Basic,Canada,57,19,Credit Card,Social Media,Monthly,3,6.04,15,0,Active,228,286,9.5,180.5,1,Medium Risk
C00162,2025-09-02,,Standard,India,40,49,Credit Card,Email,Monthly,2,12.05,9,0,Active,588,120,4.0,196.0,1,Medium Risk
C00163,2025-03-18,,Basic,Germany,53,19,UPI,Social Media,Annual,1,13.41,7,0,Active,228,288,9.6,182.4,0,Low Risk
C00164,2024-08-13,,Standard,United States,55,49,UPI,Social Media,Annual,3,7.69,6,0,Active,588,505,16.8,823.2,0,Low Risk
C00165,2025-10-31,2025-12-21,Basic,India,27,19,Credit Card,Social Media,Monthly,4,7.85,17,1,Churned,228,61,2.0,38.0,1,Medium Risk
C00166,2025-06-02,2025-12-20,Basic,Germany,42,19,Debit Card,Partner,Monthly,2,16.3,9,1,Churned,228,212,7.1,134.9,1,Medium Risk
C00167,2024-10-01,,Premium,India,29,99,Credit Card,Paid Search,Monthly,3,11.27,11,0,Active,1188,456,15.2,1504.8,1,Medium Risk
C00168,2024-03-22,,Standard,India,39,49,PayPal,Email,Annual,1,11.93,20,0,Active,588,649,21.6,1058.4,0,Low Risk
C00169,2026-03-24,,Basic,Canada,30,19,Debit Card,Referral,Annual,1,17.01,17,0,Active,228,-83,-2.8,-53.2,0,Low Risk
C00170,2024-07-10,2025-08-31,Basic,United States,33,19,PayPal,Organic Search,Annual,0,18.44,10,1,Churned,228,539,18.0,342.0,0,Low Risk
C00171,2026-05-31,,Basic,United States,38,19,PayPal,Partner,Monthly,3,8.08,21,0,Active,228,-151,-5.0,-95.0,1,Medium Risk
C00172,2025-09-26,,Premium,India,37,99,UPI,Referral,Annual,1,19.82,2,0,Active,1188,96,3.2,316.8,0,Low Risk
C00173,2024-05-26,,Standard,Germany,52,49,Debit Card,Email,Monthly,1,10.03,10,0,Active,588,584,19.5,955.5,1,Medium Risk
C00174,2024-08-08,,Basic,India,24,19,PayPal,Email,Monthly,3,17.12,20,0,Active,228,510,17.0,323.0,1,Medium Risk
C00175,2025-06-11,,Basic,Canada,36,19,Credit Card,Partner,Monthly,3,0.48,18,0,Active,228,203,6.8,129.2,1,Medium Risk
C00176,2024-10-11,2025-09-08,Basic,India,50,19,Debit Card,Social Media,Monthly,5,10.87,5,1,Churned,228,446,14.9,283.1,2,High Risk
C00177,2025-08-20,,Premium,United Kingdom,56,99,Credit Card,Paid Search,Monthly,1,9.36,22,0,Active,1188,133,4.4,435.6,1,Medium Risk
C00178,2025-10-13,2025-12-10,Standard,Australia,36,49,Debit Card,Referral,Monthly,2,12.78,18,1,Churned,588,79,2.6,127.4,1,Medium Risk
C00179,2025-12-17,,Standard,Germany,56,49,UPI,Paid Search,Annual,0,10.63,5,0,Active,588,14,0.5,24.5,0,Low Risk
C00180,2025-01-28,,Premium,India,53,99,Credit Card,Partner,Monthly,0,7.23,5,0,Active,1188,337,11.2,1108.8,1,Medium Risk
C00181,2024-04-26,2025-12-02,Standard,United States,33,49,PayPal,Partner,Monthly,1,12.65,10,1,Churned,588,614,20.5,1004.5,1,Medium Risk
C00182,2024-02-27,,Standard,Australia,21,49,Debit Card,Organic Search,Annual,2,17.8,11,0,Active,588,673,22.4,1097.6,0,Low Risk
C00183,2025-01-10,,Standard,Germany,54,49,Debit Card,Email,Monthly,1,14.33,14,0,Active,588,355,11.8,578.2,1,Medium Risk
