customer_id,signup_date,churn_date,plan,country,age,monthly_fee,payment_method,acquisition_channel,contract_type,support_tickets,login_frequency,days_since_last_login,churn_flag,status,annual_revenue
C00045,2024-07-13,2025-05-10,Basic,India,20,19,PayPal,Organic Search,Annual,3,11.21,1,1,Churned,228
C00046,2024-11-22,2025-05-15,Basic,United States,45,19,PayPal,Email,Annual,1,4.43,21,1,Churned,228
C00047,2025-08-20,,Basic,United Kingdom,23,19,Debit Card,Referral,Annual,3,11.63,12,0,Active,228
C00048,2025-09-19,2025-11-14,Premium,India,28,99,Credit Card,Paid Search,Monthly,1,13.71,34,1,Churned,1188
C00049,2024-06-30,,Standard,United Kingdom,40,49,Credit Card,Email,Annual,1,5.16,20,0,Active,588
C00050,2024-02-26,,Standard,United States,45,49,UPI,Paid Search,Monthly,4,14.07,28,0,Active,588
C00051,2024-07-23,2025-03-01,Standard,Australia,38,49,Debit Card,Paid Search,Annual,0,17.29,1,1,Churned,588
C00052,2025-07-12,2025-09-09,Basic,United Kingdom,51,19,PayPal,Organic Search,Monthly,3,11.93,22,1,Churned,228
C00053,2026-02-13,,Basic,Australia,51,19,Debit Card,Email,Monthly,2,23.71,3,0,Active,228
C00054,2026-05-22,,Basic,Canada,57,19,PayPal,Organic Search,Annual,1,9.35,7,0,Active,228
C00055,2024-11-21,,Basic,Australia,23,19,Credit Card,Email,Monthly,2,8.5,17,0,Active,228
C00056,2025-11-26,,Premium,Australia,34,99,Debit Card,Social Media,Annual,1,10.62,1,0,Active,1188
C00057,2024-03-17,,Standard,Germany,41,49,Debit Card,Email,Monthly,0,16.33,19,0,Active,588
C00058,2025-01-03,,Standard,Canada,62,49,Debit Card,Paid Search,Monthly,0,8.14,20,0,Active,588
C00059,2025-11-16,,Standard,India,56,49,Debit Card,Paid Search,Monthly,2,10.51,36,0,Active,588
C00060,2025-11-01,,Standard,Germany,51,49,UPI,Organic Search,Monthly,3,1.6,14,0,Active,588
C00061,2025-02-11,,Premium,Australia,39,99,Credit Card,Partner,Monthly,1,15.99,16,0,Active,1188
C00062,2025-12-28,2025-12-31,Basic,Germany,47,19,PayPal,Partner,Monthly,2,8.69,20,1,Churned,228
C00063,2025-07-28,,Basic,United Kingdom,37,19,Credit Card,Social Media,Monthly,2,11.67,2,0,Active,228
C00064,2024-09-03,,Standard,India,23,49,Debit Card,Paid Search,Monthly,2,11.64,4,0,Active,588
C00065,2024-09-30,,Standard,United Kingdom,47,49,UPI,Organic Search,Annual,3,15.34,13,0,Active,588
C00066,2024-07-20,,Standard,Canada,46,49,PayPal,Referral,Annual,1,14.72,25,0,Active,588
C00067,2025-05-03,2025-07-10,Standard,Canada,42,49,Credit Card,Paid Search,Monthly,4,2.7,24,1,Churned,588
C00068,2024-08-05,,Basic,United States,31,19,Credit Card,Referral,Monthly,3,11.94,25,0,Active,228
C00069,2026-02-01,,Standard,United Kingdom,53,49,Credit Card,Partner,Annual,1,15.29,5,0,Active,588
C00070,2025-01-18,,Standard,United States,50,49,Debit Card,Partner,Monthly,3,0.0,11,0,Active,588
C00071,2025-04-07,,Standard,United Kingdom,48,49,UPI,Referral,Monthly,4,3.6,8,0,Active,588
C00072,2025-10-18,,Standard,United States,30,49,PayPal,Partner,Monthly,2,8.99,28,0,Active,588
C00073,2026-05-27,,Basic,United Kingdom,46,19,Debit Card,Organic Search,Annual,0,12.28,25,0,Active,228
C00074,2026-05-21,2025-12-31,Standard,Australia,64,49,Credit Card,Email,Monthly,0,6.94,1,1,Churned,588
C00075,2025-04-23,2025-09-27,Standard,United Kingdom,55,49,Debit Card,Paid Search,Monthly,1,10.77,12,1,Churned,588
C00076,2025-11-25,,Standard,Germany,41,49,Credit Card,Organic Search,Annual,1,14.23,15,0,Active,588
C00077,2024-03-22,,Standard,Canada,39,49,PayPal,Email,Monthly,1,18.75,11,0,Active,588
C00078,2025-04-27,2025-06-14,Basic,Germany,46,19,Credit Card,Email,Monthly,0,10.73,30,1,Churned,228
C00079,2024-05-20,,Standard,Canada,47,49,Debit Card,Referral,Monthly,3,6.45,32,0,Active,588
C00080,2024-04-25,,Basic,Canada,49,19,Debit Card,Email,Monthly,1,24.86,16,0,Active,228
C00081,2024-06-29,,Basic,Australia,20,19,UPI,Organic Search,Monthly,6,3.53,5,0,Active,228
C00082,2024-09-06,,Basic,United States,24,19,Credit Card,Email,Monthly,4,8.48,1,0,Active,228
C00083,2025-02-01,,Standard,Canada,37,49,Credit Card,Email,Monthly,1,16.86,14,0,Active,588
C00084,2026-03-31,,Standard,India,34,49,Debit Card,Organic Search,Monthly,1,5.56,16,0,Active,588
C00085,2024-06-30,,Basic,United Kingdom,23,19,Debit Card,Email,Annual,0,11.66,1,0,Active,228
C00086,2025-09-27,,Standard,Australia,59,49,Debit Card,Email,Monthly,2,25.8,12,0,Active,588
C00087,2025-08-02,,Premium,Australia,45,99,Debit Card,Paid Search,Monthly,2,10.87,27,0,Active,1188
C00088,2025-08-08,,Premium,United Kingdom,56,99,PayPal,Referral,Annual,1,3.23,13,0,Active,1188
C00089,2025-09-17,2025-11-28,Standard,United Kingdom,52,49,PayPal,Referral,Annual,2,12.9,11,1,Churned,588
C00090,2025-12-18,2025-12-31,Standard,United Kingdom,57,49,Debit Card,Organic Search,Monthly,3,8.36,12,1,Churned,588
C00091,2026-02-06,,Premium,Australia,34,99,Debit Card,Organic Search,Monthly,5,9.73,21,0,Active,1188
C00092,2025-02-23,,Standard,United Kingdom,43,49,Credit Card,Email,Monthly,4,13.79,9,0,Active,588
C00093,2025-07-14,,Basic,United States,40,19,Credit Card,Paid Search,Annual,3,16.51,1,0,Active,228
C00094,2025-10-24,,Standard,United Kingdom,54,49,UPI,Paid Search,Annual,2,17.16,1,0,Active,588
C00095,2025-01-20,2025-10-27,Premium,United States,61,99,Debit Card,Paid Search,Monthly,5,9.41,29,1,Churned,1188
C00096,2026-04-25,,Standard,India,33,49,PayPal,Social Media,Annual,2,9.9,12,0,Active,588
C00097,2024-10-16,,Basic,Germany,21,19,Debit Card,Partner,Monthly,1,10.77,6,0,Active,228
C00098,2026-05-13,,Basic,United Kingdom,54,19,Credit Card,Email,Monthly,4,12.83,19,0,Active,228
C00099,2025-07-04,,Standard,Australia,63,49,Debit Card,Referral,Monthly,2,19.1,9,0,Active,588
C00100,2026-04-17,,Standard,United Kingdom,49,49,UPI,Partner,Monthly,0,0.77,6,0,Active,588
C00101,2024-09-25,,Basic,Australia,26,19,UPI,Organic Search,Annual,3,10.82,16,0,Active,228
C00102,2024-05-20,,Standard,Australia,30,49,PayPal,Email,Annual,5,14.05,21,0,Active,588
C00103,2026-06-18,,Standard,Canada,50,49,UPI,Referral,Monthly,2,7.36,20,0,Active,588
C00104,2026-05-24,,Premium,Australia,48,99,UPI,Paid Search,Monthly,1,14.09,19,0,Active,1188
C00105,2024-03-31,,Standard,United States,49,49,Credit Card,Partner,Monthly,0,10.89,16,0,Active,588
C00106,2026-03-08,,Basic,United States,58,19,PayPal,Paid Search,Monthly,1,12.88,19,0,Active,228
C00107,2025-12-09,,Basic,United Kingdom,34,19,PayPal,Partner,Annual,0,22.1,7,0,Active,228
C00108,2025-12-03,,Standard,Canada,24,49,Credit Card,Referral,Annual,2,11.44,2,0,Active,588
C00109,2026-03-30,,Premium,United Kingdom,30,99,Credit Card,Email,Monthly,0,17.61,28,0,Active,1188
C00110,2025-07-21,2025-11-28,Basic,India,61,19,PayPal,Social Media,Annual,2,11.77,17,1,Churned,228
C00111,2024-02-22,,Premium,United States,52,99,PayPal,Organic Search,Monthly,3,13.71,19,0,Active,1188
C00112,2026-04-15,,Standard,Germany,24,49,UPI,Email,Monthly,4,13.87,7,0,Active,588
C00113,2026-02-05,2025-12-31,Basic,Germany,39,19,Debit Card,Email,Monthly,2,11.13,8,1,Churned,228
C00114,2024-12-31,2025-10-23,Standard,Germany,49,49,UPI,Email,Annual,1,11.98,3,1,Churned,588
C00115,2024-10-04,,Standard,Canada,50,49,Debit Card,Paid Search,Monthly,0,10.65,14,0,Active,588
C00116,2025-12-24,,Basic,Germany,56,19,Debit Card,Partner,Monthly,2,13.38,7,0,Active,228
C00117,2024-09-09,,Standard,Germany,26,49,Debit Card,Organic Search,Monthly,4,12.57,24,0,Active,588
C00118,2026-02-09,,Premium,United States,20,99,UPI,Organic Search,Monthly,3,4.21,25,0,Active,1188
C00119,2024-04-16,,Standard,Australia,25,49,Credit Card,Email,Monthly,2,6.36,20,0,Active,588
C00120,2024-05-18,2024-07-10,Standard,Australia,32,49,Credit Card,Social Media,Monthly,2,13.12,25,1,Churned,588
C00121,2024-08-11,2025-05-29,Basic,Australia,51,19,PayPal,Social Media,Annual,3,8.64,1,1,Churned,228
C00122,2026-05-19,,Premium,India,52,99,Debit Card,Social Media,Annual,2,11.87,26,0,Active,1188
C00123,2026-06-07,,Basic,Canada,64,19,Debit Card,Organic Search,Monthly,2,20.58,30,0,Active,228
C00124,2025-11-18,,Basic,United Kingdom,27,19,UPI,Partner,Monthly,2,15.24,1,0,Active,228
C00125,2024-11-25,,Standard,Germany,37,49,PayPal,Organic Search,Monthly,3,12.87,25,0,Active,588
C00126,2024-05-31,2024-06-30,Standard,Canada,31,49,Debit Card,Organic Search,Monthly,0,15.66,14,1,Churned,588
C00127,2025-09-25,,Basic,India,31,19,PayPal,Paid Search,Monthly,1,4.28,20,0,Active,228
C00128,2026-02-20,,Standard,Canada,55,49,PayPal,Partner,Monthly,2,13.38,8,0,Active,588
C00129,2026-03-19,2025-12-31,Basic,Australia,64,19,Debit Card,Paid Search,Monthly,1,15.34,9,1,Churned,228
C00130,2025-06-28,,Premium,India,29,99,UPI,Organic Search,Monthly,2,8.14,17,0,Active,1188
C00131,2026-02-02,2025-12-31,Standard,United States,23,49,UPI,Organic Search,Annual,1,8.98,11,1,Churned,588
C00132,2025-07-31,2025-09-11,Standard,Germany,63,49,PayPal,Partner,Monthly,3,11.13,15,1,Churned,588
C00133,2025-08-03,,Basic,Canada,24,19,UPI,Email,Monthly,3,6.06,18,0,Active,228
C00134,2024-12-05,2025-04-30,Standard,United States,63,49,Credit Card,Referral,Monthly,1,12.45,3,1,Churned,588
C00135,2025-12-24,,Basic,Canada,32,19,UPI,Partner,Annual,4,12.65,18,0,Active,228
C00136,2026-06-18,,Basic,Canada,38,19,Credit Card,Partner,Monthly,4,7.86,16,0,Active,228
C00137,2024-04-03,,Standard,United States,30,49,PayPal,Paid Search,Monthly,1,21.23,17,0,Active,588
C00138,2026-01-01,,Basic,United States,59,19,PayPal,Social Media,Monthly,3,24.73,19,0,Active,228
C00139,2026-06-12,2025-12-31,Standard,United States,41,49,Debit Card,Organic Search,Annual,1,8.41,23,1,Churned,588
C00140,2024-09-05,,Premium,Canada,56,99,Debit Card,Organic Search,Monthly,2,15.17,19,0,Active,1188
C00141,2024-11-28,,Basic,India,39,19,PayPal,Email,Monthly,1,19.3,1,0,Active,228
C00142,2024-07-03,,Standard,United States,52,49,UPI,Email,Monthly,2,17.21,9,0,Active,588
C00143,2026-03-21,,Standard,Germany,59,49,PayPal,Email,Monthly,2,8.75,2,0,Active,588
C00144,2024-06-30,,Basic,India,19,19,PayPal,Email,Monthly,2,10.77,1,0,Active,228
C00145,2024-04-16,2025-08-29,Basic,United States,40,19,PayPal,Paid Search,Monthly,1,14.79,15,1,Churned,228
C00146,2026-06-19,2025-12-31,Basic,India,33,19,Debit Card,Partner,Monthly,0,0.32,10,1,Churned,228
C00147,2025-10-29,,Basic,United Kingdom,57,19,Debit Card,Email,Annual,2,16.07,8,0,Active,228
C00148,2025-06-18,,Premium,Australia,33,99,PayPal,Partner,Monthly,0,8.59,3,0,Active,1188
C00149,2024-06-03,2025-08-13,Basic,United States,44,19,Credit Card,Organic Search,Monthly,2,13.83,29,1,Churned,228
C00150,2024-06-30,2025-05-16,Standard,Canada,59,49,PayPal,Organic Search,Monthly,3,14.89,9,1,Churned,588
C00151,2024-03-11,2024-12-31,Basic,United Kingdom,19,19,UPI,Paid Search,Monthly,1,24.32,11,1,Churned,228
C00152,2026-03-11,,Standard,Australia,20,49,UPI,Organic Search,Annual,0,16.75,1,0,Active,588
C00153,2025-06-27,,Basic,Australia,29,19,PayPal,Social Media,Monthly,1,5.95,20,0,Active,228
C00154,2025-03-01,,Standard,Canada,40,49,UPI,Referral,Monthly,1,15.23,28,0,Active,588
C00155,2026-03-29,,Basic,United Kingdom,26,19,UPI,Email,Monthly,0,10.06,16,0,Active,228
C00156,2025-11-27,,Standard,India,54,49,UPI,Social Media,Monthly,2,11.36,24,0,Active,588
C00157,2024-05-17,,Basic,United Kingdom,45,19,Debit Card,Partner,Monthly,2,18.85,11,0,Active,228
C00158,2024-07-16,2025-03-15,Standard,United States,56,49,Credit Card,Organic Search,Monthly,1,11.39,10,1,Churned,588
C00159,2025-02-23,,Basic,United Kingdom,38,19,PayPal,Email,Monthly,2,5.14,1,0,Active,228
C00160,2024-04-27,,Standard,Australia,59,49,Credit Card,Organic Search,Annual,2,15.39,10,0,Active,588
C00161,2025-03-20,,Basic,Canada,57,19,Credit Card,Social Media,Monthly,3,6.04,15,0,Active,228
C00162,2025-09-02,,Standard,India,40,49,Credit Card,Email,Monthly,2,12.05,9,0,Active,588
C00163,2025-03-18,,Basic,Germany,53,19,UPI,Social Media,Annual,1,13.41,7,0,Active,228
C00164,2024-08-13,,Standard,United States,55,49,UPI,Social Media,Annual,3,7.69,6,0,Active,588
C00165,2025-10-31,2025-12-21,Basic,India,27,19,Credit Card,Social Media,Monthly,4,7.85,17,1,Churned,228
C00166,2025-06-02,2025-12-20,Basic,Germany,42,19,Debit Card,Partner,Monthly,2,16.3,9,1,Churned,228
C00167,2024-10-01,,Premium,India,29,99,Credit Card,Paid Search,Monthly,3,11.27,11,0,Active,1188
C00168,2024-03-22,,Standard,India,39,49,PayPal,Email,Annual,1,11.93,20,0,Active,588
C00169,2026-03-24,,Basic,Canada,30,19,Debit Card,Referral,Annual,1,17.01,17,0,Active,228
C00170,2024-07-10,2025-08-31,Basic,United States,33,19,PayPal,Organic Search,Annual,0,18.44,10,1,Churned,228
C00171,2026-05-31,,Basic,United States,38,19,PayPal,Partner,Monthly,3,8.08,21,0,Active,228
C00172,2025-09-26,,Premium,India,37,99,UPI,Referral,Annual,1,19.82,2,0,Active,1188
C00173,2024-05-26,,Standard,Germany,52,49,Debit Card,Email,Monthly,1,10.03,10,0,Active,588
C00174,2024-08-08,,Basic,India,24,19,PayPal,Email,Monthly,3,17.12,20,0,Active,228
C00175,2025-06-11,,Basic,Canada,36,19,Credit Card,Partner,Monthly,3,0.48,18,0,Active,228
C00176,2024-10-11,2025-09-08,Basic,India,50,19,Debit Card,Social Media,Monthly,5,10.87,5,1,Churned,228
C00177,2025-08-20,,Premium,United Kingdom,56,99,Credit Card,Paid Search,Monthly,1,9.36,22,0,Active,1188
C00178,2025-10-13,2025-12-10,Standard,Australia,36,49,Debit Card,Referral,Monthly,2,12.78,18,1,Churned,588
C00179,2025-12-17,,Standard,Germany,56,49,UPI,Paid Search,Annual,0,10.63,5,0,Active,588
C00180,2025-01-28,,Premium,India,53,99,Credit Card,Partner,Monthly,0,7.23,5,0,Active,1188
C00181,2024-04-26,2025-12-02,Standard,United States,33,49,PayPal,Partner,Monthly,1,12.65,10,1,Churned,588
C00182,2024-02-27,,Standard,Australia,21,49,Debit Card,Organic Search,Annual,2,17.8,11,0,Active,588
C00183,2025-01-10,,Standard,Germany,54,49,Debit Card,Email,Monthly,1,14.33,14,0,Active,588
C00184,2024-03-02,,Standard,India,58,49,Credit Card,Paid Search,Annual,0,14.35,34,0,Active,588
C00185,2026-05-21,,Premium,Australia,51,99,PayPal,Paid Search,Monthly,2,10.82,26,0,Active,1188
C00186,2024-09-25,,Basic,Germany,19,19,Debit Card,Paid Search,Annual,3,12.36,14,0,Active,228
C00187,2025-09-21,,Standard,India,49,49,UPI,Email,Monthly,2,10.2,20,0,Active,588
C00188,2024-08-02,,Standard,United States,45,49,Debit Card,Organic Search,Monthly,3,13.49,7,0,Active,588
C00189,2026-05-21,,Premium,United States,60,99,UPI,Email,Annual,2,21.37,25,0,Active,1188
C00190,2024-06-26,,Standard,Germany,57,49,Debit Card,Paid Search,Monthly,1,15.94,12,0,Active,588
C00191,2024-06-14,,Basic,Germany,50,19,PayPal,Organic Search,Monthly,5,13.7,9,0,Active,228
C00192,2025-06-29,,Basic,India,62,19,UPI,Email,Monthly,2,17.94,40,0,Active,228
C00193,2025-04-24,,Standard,United States,43,49,Debit Card,Partner,Annual,4,18.59,13,0,Active,588
C00194,2024-06-27,,Standard,Australia,41,49,Debit Card,Partner,Annual,1,9.17,10,0,Active,588
C00195,2026-01-07,,Basic,United States,28,19,Credit Card,Partner,Annual,2,9.55,17,0,Active,228
C00196,2024-03-18,,Basic,Canada,64,19,UPI,Partner,Annual,3,2.32,16,0,Active,228
C00197,2024-05-29,,Basic,United Kingdom,63,19,PayPal,Partner,Annual,1,13.41,22,0,Active,228
C00198,2024-04-07,,Premium,United Kingdom,40,99,UPI,Referral,Monthly,1,10.81,4,0,Active,1188
C00199,2025-02-13,,Premium,United Kingdom,37,99,Credit Card,Organic Search,Monthly,1,14.7,23,0,Active,1188
C00200,2026-01-10,,Premium,Australia,24,99,Debit Card,Organic Search,Monthly,2,13.84,33,0,Active,1188
C00201,2024-10-03,,Basic,Germany,26,19,PayPal,Organic Search,Monthly,2,16.75,32,0,Active,228
C00202,2024-10-20,,Premium,Australia,47,99,PayPal,Referral,Monthly,2,11.68,1,0,Active,1188
C00203,2024-10-14,,Standard,India,26,49,PayPal,Referral,Annual,2,8.73,1,0,Active,588
C00204,2026-02-26,,Standard,India,36,49,Debit Card,Social Media,Monthly,3,7.17,15,0,Active,588
C00205,2024-12-24,,Basic,Australia,20,19,Debit Card,Social Media,Annual,3,8.29,1,0,Active,228
C00206,2025-07-03,2025-11-02,Standard,United States,44,49,PayPal,Referral,Monthly,3,24.42,7,1,Churned,588
C00207,2024-11-23,,Standard,India,63,49,Credit Card,Partner,Annual,1,4.75,11,0,Active,588
C00208,2026-05-28,2025-12-31,Basic,Germany,58,19,Credit Card,Email,Monthly,3,10.53,16,1,Churned,228
C00209,2025-11-08,,Standard,Germany,62,49,Credit Card,Social Media,Annual,2,17.26,5,0,Active,588
C00210,2025-11-01,,Premium,Australia,25,99,Credit Card,Referral,Monthly,1,10.12,20,0,Active,1188
C00211,2025-09-14,,Standard,India,53,49,Debit Card,Email,Monthly,1,10.88,8,0,Active,588
C00212,2026-05-28,,Premium,Australia,58,99,Debit Card,Paid Search,Annual,1,14.26,4,0,Active,1188
C00213,2024-06-18,,Standard,Australia,55,49,UPI,Partner,Monthly,1,25.39,10,0,Active,588
C00214,2024-12-01,,Basic,Australia,48,19,Credit Card,Organic Search,Monthly,2,17.59,16,0,Active,228
C00215,2025-09-05,,Standard,Canada,51,49,PayPal,Referral,Monthly,1,10.64,14,0,Active,588
C00216,2025-02-08,2025-04-25,Basic,United States,45,19,Credit Card,Social Media,Monthly,1,18.55,28,1,Churned,228
C00217,2026-02-12,,Basic,United Kingdom,28,19,Credit Card,Organic Search,Monthly,1,11.87,17,0,Active,228
C00218,2024-12-21,,Standard,Australia,22,49,Debit Card,Referral,Monthly,0,3.16,1,0,Active,588
C00219,2025-09-03,2025-11-08,Basic,Australia,32,19,Credit Card,Partner,Monthly,4,11.46,19,1,Churned,228
C00220,2025-08-01,,Basic,Germany,21,19,Credit Card,Email,Monthly,1,9.83,25,0,Active,228
C00221,2026-04-21,2025-12-31,Premium,Australia,38,99,Debit Card,Social Media,Monthly,1,13.62,11,1,Churned,1188
C00222,2024-11-03,,Basic,Australia,34,19,UPI,Social Media,Monthly,3,14.28,22,0,Active,228
C00223,2025-01-16,2025-07-13,Premium,United Kingdom,51,99,UPI,Partner,Monthly,2,10.19,34,1,Churned,1188
C00224,2024-03-30,,Basic,Germany,34,19,UPI,Referral,Monthly,2,28.27,2,0,Active,228
C00225,2025-07-08,,Standard,United Kingdom,28,49,PayPal,Organic Search,Monthly,3,18.4,18,0,Active,588
C00226,2025-09-21,2025-11-21,Standard,India,25,49,PayPal,Email,Monthly,1,16.43,22,1,Churned,588
C00227,2024-07-18,,Premium,Germany,60,99,UPI,Partner,Monthly,3,19.23,16,0,Active,1188
C00228,2024-10-14,,Premium,United States,25,99,Debit Card,Organic Search,Monthly,0,18.05,1,0,Active,1188
C00229,2024-06-11,,Basic,Australia,57,19,PayPal,Email,Annual,2,19.7,8,0,Active,228
C00230,2025-03-20,,Basic,Canada,47,19,UPI,Partner,Monthly,3,8.42,18,0,Active,228
C00231,2024-08-20,,Premium,Canada,33,99,Debit Card,Social Media,Monthly,2,4.04,7,0,Active,1188
C00232,2024-04-04,,Basic,United Kingdom,46,19,UPI,Email,Annual,1,9.97,1,0,Active,228
C00233,2024-07-12,2024-10-03,Standard,India,40,49,PayPal,Partner,Monthly,0,6.47,22,1,Churned,588
C00234,2026-01-30,,Standard,Canada,41,49,UPI,Partner,Monthly,3,7.18,24,0,Active,588
C00235,2025-09-03,,Basic,India,48,19,Credit Card,Paid Search,Annual,4,12.92,4,0,Active,228
C00236,2025-02-13,2025-07-04,Premium,Canada,53,99,Debit Card,Referral,Monthly,2,12.39,9,1,Churned,1188
C00237,2025-04-02,,Premium,India,27,99,UPI,Email,Annual,5,15.08,27,0,Active,1188
C00238,2026-05-25,,Basic,Australia,56,19,PayPal,Organic Search,Monthly,2,10.57,18,0,Active,228
C00239,2024-06-28,,Standard,Canada,48,49,Debit Card,Organic Search,Monthly,2,4.23,23,0,Active,588
C00240,2025-09-07,,Basic,Canada,35,19,UPI,Social Media,Annual,3,12.57,11,0,Active,228
C00241,2024-11-06,,Premium,Germany,27,99,Credit Card,Social Media,Monthly,3,7.7,26,0,Active,1188
C00242,2025-07-31,,Premium,Canada,41,99,Credit Card,Referral,Annual,3,9.79,11,0,Active,1188
C00243,2024-03-12,,Premium,Germany,59,99,UPI,Partner,Monthly,2,7.77,22,0,Active,1188
C00244,2024-06-17,,Standard,Canada,33,49,PayPal,Referral,Monthly,5,9.64,11,0,Active,588
C00245,2024-04-19,,Premium,Australia,58,99,Credit Card,Paid Search,Monthly,0,16.25,32,0,Active,1188
C00246,2024-11-03,,Premium,Australia,49,99,PayPal,Paid Search,Monthly,2,16.16,17,0,Active,1188
C00247,2024-08-03,,Premium,United Kingdom,62,99,UPI,Referral,Annual,2,18.22,6,0,Active,1188
C00248,2025-01-04,,Standard,India,63,49,Debit Card,Paid Search,Monthly,2,12.19,20,0,Active,588
C00249,2024-05-18,2025-09-05,Basic,Australia,38,19,Debit Card,Email,Monthly,2,4.88,12,1,Churned,228
